date,process,workstation,characteristic,measurement_value,target,lsl,usl
2025-01-14,Hose Clamp Assembly,Line 3,Hose pull-off force (N),197.7393,200.0,180.0,220.0
2025-01-05,Hose Clamp Assembly,Line 2,Hose pull-off force (N),197.7857,200.0,180.0,220.0
2025-01-16,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.0107,200.0,180.0,220.0
2025-01-25,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.8853,200.0,180.0,220.0
2025-01-06,Hose Clamp Assembly,Line 2,Hose pull-off force (N),198.752,200.0,180.0,220.0
2025-01-01,Hose Clamp Assembly,Line 1,Hose pull-off force (N),197.0554,200.0,180.0,220.0
2025-01-08,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.2663,200.0,180.0,220.0
2025-01-05,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.8809,200.0,180.0,220.0
2025-01-24,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.3115,200.0,180.0,220.0
2025-01-19,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.4346,200.0,180.0,220.0
2025-01-06,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.4532,200.0,180.0,220.0
2025-01-12,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.7243,200.0,180.0,220.0
2025-01-21,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.8573,200.0,180.0,220.0
2025-01-13,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.1755,200.0,180.0,220.0
2025-01-09,Hose Clamp Assembly,Line 3,Hose pull-off force (N),197.2354,200.0,180.0,220.0
2025-01-20,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.586,200.0,180.0,220.0
2025-01-20,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.2693,200.0,180.0,220.0
2025-01-22,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.2926,200.0,180.0,220.0
2025-01-21,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.9611,200.0,180.0,220.0
2025-01-02,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.533,200.0,180.0,220.0
2025-01-04,Hose Clamp Assembly,Line 2,Hose pull-off force (N),198.4065,200.0,180.0,220.0
2025-01-15,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.6477,200.0,180.0,220.0
2025-01-04,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.2511,200.0,180.0,220.0
2025-01-09,Hose Clamp Assembly,Line 2,Hose pull-off force (N),202.7788,200.0,180.0,220.0
2025-01-23,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.0274,200.0,180.0,220.0
2025-01-07,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.976,200.0,180.0,220.0
2025-01-22,Hose Clamp Assembly,Line 3,Hose pull-off force (N),198.4718,200.0,180.0,220.0
2025-01-01,Hose Clamp Assembly,Line 2,Hose pull-off force (N),197.7798,200.0,180.0,220.0
2025-01-14,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.5882,200.0,180.0,220.0
2025-01-04,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.5877,200.0,180.0,220.0
2025-01-17,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.9809,200.0,180.0,220.0
2025-01-20,Hose Clamp Assembly,Line 3,Hose pull-off force (N),198.9782,200.0,180.0,220.0
2025-01-23,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.2059,200.0,180.0,220.0
2025-01-14,Hose Clamp Assembly,Line 1,Hose pull-off force (N),202.7931,200.0,180.0,220.0
2025-01-17,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.088,200.0,180.0,220.0
2025-01-20,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.9196,200.0,180.0,220.0
2025-01-10,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.6043,200.0,180.0,220.0
2025-01-26,Hose Clamp Assembly,Line 1,Hose pull-off force (N),198.7459,200.0,180.0,220.0
2025-01-16,Hose Clamp Assembly,Line 1,Hose pull-off force (N),202.1892,200.0,180.0,220.0
2025-01-20,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.8755,200.0,180.0,220.0
2025-01-25,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.1878,200.0,180.0,220.0
2025-01-27,Hose Clamp Assembly,Line 3,Hose pull-off force (N),198.7551,200.0,180.0,220.0
2025-01-07,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.2064,200.0,180.0,220.0
2025-01-23,Hose Clamp Assembly,Line 2,Hose pull-off force (N),202.2827,200.0,180.0,220.0
2025-01-10,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.1856,200.0,180.0,220.0
2025-01-02,Hose Clamp Assembly,Line 3,Hose pull-off force (N),202.3041,200.0,180.0,220.0
2025-01-16,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.5022,200.0,180.0,220.0
2025-01-23,Hose Clamp Assembly,Line 2,Hose pull-off force (N),198.427,200.0,180.0,220.0
2025-01-11,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.6438,200.0,180.0,220.0
2025-01-01,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.9001,200.0,180.0,220.0
2025-01-22,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.4163,200.0,180.0,220.0
2025-01-04,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.6239,200.0,180.0,220.0
2025-01-22,Hose Clamp Assembly,Line 2,Hose pull-off force (N),198.7786,200.0,180.0,220.0
2025-01-05,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.7875,200.0,180.0,220.0
2025-01-25,Hose Clamp Assembly,Line 3,Hose pull-off force (N),203.1783,200.0,180.0,220.0
2025-01-03,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.1743,200.0,180.0,220.0
2025-01-24,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.5265,200.0,180.0,220.0
2025-01-09,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.8595,200.0,180.0,220.0
2025-01-08,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.8421,200.0,180.0,220.0
2025-01-10,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.8407,200.0,180.0,220.0
2025-01-15,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.3098,200.0,180.0,220.0
2025-01-04,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.8694,200.0,180.0,220.0
2025-01-28,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.8125,200.0,180.0,220.0
2025-01-28,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.6105,200.0,180.0,220.0
2025-01-12,Hose Clamp Assembly,Line 3,Hose pull-off force (N),202.2703,200.0,180.0,220.0
2025-01-11,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.4863,200.0,180.0,220.0
2025-01-24,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.5496,200.0,180.0,220.0
2025-02-02,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.223,200.0,180.0,220.0
2025-02-28,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.8358,200.0,180.0,220.0
2025-02-22,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.2154,200.0,180.0,220.0
2025-02-06,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.5729,200.0,180.0,220.0
2025-02-12,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.4259,200.0,180.0,220.0
2025-02-20,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.1135,200.0,180.0,220.0
2025-02-24,Hose Clamp Assembly,Line 1,Hose pull-off force (N),197.5891,200.0,180.0,220.0
2025-02-12,Hose Clamp Assembly,Line 2,Hose pull-off force (N),198.9368,200.0,180.0,220.0
2025-02-06,Hose Clamp Assembly,Line 1,Hose pull-off force (N),202.0977,200.0,180.0,220.0
2025-02-13,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.4614,200.0,180.0,220.0
2025-02-15,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.8578,200.0,180.0,220.0
2025-02-27,Hose Clamp Assembly,Line 2,Hose pull-off force (N),198.5709,200.0,180.0,220.0
2025-02-23,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.0008,200.0,180.0,220.0
2025-02-26,Hose Clamp Assembly,Line 2,Hose pull-off force (N),197.5486,200.0,180.0,220.0
2025-02-21,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.509,200.0,180.0,220.0
2025-02-04,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.7426,200.0,180.0,220.0
2025-02-23,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.1752,200.0,180.0,220.0
2025-02-02,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.5601,200.0,180.0,220.0
2025-02-04,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.2261,200.0,180.0,220.0
2025-02-19,Hose Clamp Assembly,Line 2,Hose pull-off force (N),203.8916,200.0,180.0,220.0
2025-02-26,Hose Clamp Assembly,Line 3,Hose pull-off force (N),198.3346,200.0,180.0,220.0
2025-02-22,Hose Clamp Assembly,Line 2,Hose pull-off force (N),202.4522,200.0,180.0,220.0
2025-02-06,Hose Clamp Assembly,Line 3,Hose pull-off force (N),202.1651,200.0,180.0,220.0
2025-02-13,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.4642,200.0,180.0,220.0
2025-02-20,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.9784,200.0,180.0,220.0
2025-02-28,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.9597,200.0,180.0,220.0
2025-02-27,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.9513,200.0,180.0,220.0
2025-02-05,Hose Clamp Assembly,Line 2,Hose pull-off force (N),202.9913,200.0,180.0,220.0
2025-02-16,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.5986,200.0,180.0,220.0
2025-02-14,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.4491,200.0,180.0,220.0
2025-02-02,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.0018,200.0,180.0,220.0
2025-02-09,Hose Clamp Assembly,Line 3,Hose pull-off force (N),198.3775,200.0,180.0,220.0
2025-02-11,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.3437,200.0,180.0,220.0
2025-02-23,Hose Clamp Assembly,Line 3,Hose pull-off force (N),202.525,200.0,180.0,220.0
2025-02-17,Hose Clamp Assembly,Line 3,Hose pull-off force (N),198.3111,200.0,180.0,220.0
2025-02-19,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.0387,200.0,180.0,220.0
2025-02-19,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.8597,200.0,180.0,220.0
2025-02-22,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.1473,200.0,180.0,220.0
2025-02-17,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.4435,200.0,180.0,220.0
2025-02-23,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.0121,200.0,180.0,220.0
2025-02-20,Hose Clamp Assembly,Line 1,Hose pull-off force (N),198.5601,200.0,180.0,220.0
2025-02-14,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.1636,200.0,180.0,220.0
2025-02-24,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.7494,200.0,180.0,220.0
2025-02-16,Hose Clamp Assembly,Line 2,Hose pull-off force (N),198.6499,200.0,180.0,220.0
2025-02-22,Hose Clamp Assembly,Line 3,Hose pull-off force (N),198.2021,200.0,180.0,220.0
2025-02-21,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.694,200.0,180.0,220.0
2025-02-05,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.7933,200.0,180.0,220.0
2025-02-20,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.3615,200.0,180.0,220.0
2025-02-01,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.949,200.0,180.0,220.0
2025-02-06,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.7335,200.0,180.0,220.0
2025-02-28,Hose Clamp Assembly,Line 2,Hose pull-off force (N),197.9742,200.0,180.0,220.0
2025-02-28,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.4276,200.0,180.0,220.0
2025-02-28,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.2561,200.0,180.0,220.0
2025-02-03,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.0342,200.0,180.0,220.0
2025-02-11,Hose Clamp Assembly,Line 1,Hose pull-off force (N),202.2156,200.0,180.0,220.0
2025-02-11,Hose Clamp Assembly,Line 2,Hose pull-off force (N),198.9271,200.0,180.0,220.0
2025-02-02,Hose Clamp Assembly,Line 3,Hose pull-off force (N),202.4037,200.0,180.0,220.0
2025-02-08,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.9032,200.0,180.0,220.0
2025-02-21,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.1463,200.0,180.0,220.0
2025-02-13,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.6345,200.0,180.0,220.0
2025-02-03,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.4997,200.0,180.0,220.0
2025-02-15,Hose Clamp Assembly,Line 3,Hose pull-off force (N),202.5461,200.0,180.0,220.0
2025-02-15,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.0055,200.0,180.0,220.0
2025-02-28,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.4897,200.0,180.0,220.0
2025-02-15,Hose Clamp Assembly,Line 2,Hose pull-off force (N),202.2625,200.0,180.0,220.0
2025-02-04,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.7471,200.0,180.0,220.0
2025-02-24,Hose Clamp Assembly,Line 3,Hose pull-off force (N),202.0532,200.0,180.0,220.0
2025-02-01,Hose Clamp Assembly,Line 1,Hose pull-off force (N),203.2846,200.0,180.0,220.0
2025-02-13,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.0458,200.0,180.0,220.0
2025-02-02,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.7154,200.0,180.0,220.0
2025-02-18,Hose Clamp Assembly,Line 1,Hose pull-off force (N),198.8868,200.0,180.0,220.0
2025-02-27,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.8285,200.0,180.0,220.0
2025-02-26,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.9725,200.0,180.0,220.0
2025-02-20,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.3942,200.0,180.0,220.0
2025-02-10,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.67,200.0,180.0,220.0
2025-02-18,Hose Clamp Assembly,Line 1,Hose pull-off force (N),198.1046,200.0,180.0,220.0
2025-02-21,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.4408,200.0,180.0,220.0
2025-02-15,Hose Clamp Assembly,Line 2,Hose pull-off force (N),197.4845,200.0,180.0,220.0
2025-02-12,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.1759,200.0,180.0,220.0
2025-02-27,Hose Clamp Assembly,Line 1,Hose pull-off force (N),202.1159,200.0,180.0,220.0
2025-02-28,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.9609,200.0,180.0,220.0
2025-02-11,Hose Clamp Assembly,Line 3,Hose pull-off force (N),203.6683,200.0,180.0,220.0
2025-02-25,Hose Clamp Assembly,Line 3,Hose pull-off force (N),202.2452,200.0,180.0,220.0
2025-02-20,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.6572,200.0,180.0,220.0
2025-02-23,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.7072,200.0,180.0,220.0
2025-02-12,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.5921,200.0,180.0,220.0
2025-02-15,Hose Clamp Assembly,Line 1,Hose pull-off force (N),198.2263,200.0,180.0,220.0
2025-02-04,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.2155,200.0,180.0,220.0
2025-02-08,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.8007,200.0,180.0,220.0
2025-02-11,Hose Clamp Assembly,Line 2,Hose pull-off force (N),197.5264,200.0,180.0,220.0
2025-02-27,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.7383,200.0,180.0,220.0
2025-02-26,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.2812,200.0,180.0,220.0
2025-02-18,Hose Clamp Assembly,Line 3,Hose pull-off force (N),198.0864,200.0,180.0,220.0
2025-02-12,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.2882,200.0,180.0,220.0
2025-02-04,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.7686,200.0,180.0,220.0
2025-02-06,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.015,200.0,180.0,220.0
2025-02-05,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.1656,200.0,180.0,220.0
2025-02-24,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.5768,200.0,180.0,220.0
2025-02-14,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.7136,200.0,180.0,220.0
2025-02-09,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.1389,200.0,180.0,220.0
2025-02-07,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.394,200.0,180.0,220.0
2025-02-04,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.0914,200.0,180.0,220.0
2025-02-07,Hose Clamp Assembly,Line 2,Hose pull-off force (N),202.5078,200.0,180.0,220.0
2025-02-27,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.7454,200.0,180.0,220.0
2025-02-23,Hose Clamp Assembly,Line 2,Hose pull-off force (N),203.8989,200.0,180.0,220.0
2025-02-04,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.8549,200.0,180.0,220.0
2025-02-02,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.715,200.0,180.0,220.0
2025-02-27,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.6285,200.0,180.0,220.0
2025-02-19,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.0092,200.0,180.0,220.0
2025-02-25,Hose Clamp Assembly,Line 2,Hose pull-off force (N),197.9796,200.0,180.0,220.0
2025-02-15,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.8234,200.0,180.0,220.0
2025-02-19,Hose Clamp Assembly,Line 3,Hose pull-off force (N),198.9817,200.0,180.0,220.0
2025-02-05,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.8737,200.0,180.0,220.0
2025-02-01,Hose Clamp Assembly,Line 3,Hose pull-off force (N),202.198,200.0,180.0,220.0
2025-02-24,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.6609,200.0,180.0,220.0
2025-02-18,Hose Clamp Assembly,Line 2,Hose pull-off force (N),197.0093,200.0,180.0,220.0
2025-02-27,Hose Clamp Assembly,Line 3,Hose pull-off force (N),203.8128,200.0,180.0,220.0
2025-02-16,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.1202,200.0,180.0,220.0
2025-02-25,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.4682,200.0,180.0,220.0
2025-02-23,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.9073,200.0,180.0,220.0
2025-02-06,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.9367,200.0,180.0,220.0
2025-02-27,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.6372,200.0,180.0,220.0
2025-02-04,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.9702,200.0,180.0,220.0
2025-02-22,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.7287,200.0,180.0,220.0
2025-02-20,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.0418,200.0,180.0,220.0
2025-02-17,Hose Clamp Assembly,Line 2,Hose pull-off force (N),199.6072,200.0,180.0,220.0
2025-02-14,Hose Clamp Assembly,Line 3,Hose pull-off force (N),198.4567,200.0,180.0,220.0
2025-02-23,Hose Clamp Assembly,Line 1,Hose pull-off force (N),200.8899,200.0,180.0,220.0
2025-03-15,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.1327,200.0,180.0,220.0
2025-03-05,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.5727,200.0,180.0,220.0
2025-03-20,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.858,200.0,180.0,220.0
2025-03-24,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.6219,200.0,180.0,220.0
2025-03-10,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.6011,200.0,180.0,220.0
2025-03-18,Hose Clamp Assembly,Line 2,Hose pull-off force (N),198.4324,200.0,180.0,220.0
2025-03-23,Hose Clamp Assembly,Line 3,Hose pull-off force (N),199.0913,200.0,180.0,220.0
2025-03-18,Hose Clamp Assembly,Line 3,Hose pull-off force (N),198.9997,200.0,180.0,220.0
2025-03-07,Hose Clamp Assembly,Line 1,Hose pull-off force (N),201.9478,200.0,180.0,220.0
2025-03-07,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.7499,200.0,180.0,220.0
2025-03-23,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.093,200.0,180.0,220.0
2025-03-22,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.9361,200.0,180.0,220.0
2025-03-22,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.1221,200.0,180.0,220.0
2025-03-23,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.8929,200.0,180.0,220.0
2025-03-06,Hose Clamp Assembly,Line 3,Hose pull-off force (N),200.2097,200.0,180.0,220.0
2025-03-18,Hose Clamp Assembly,Line 3,Hose pull-off force (N),201.6115,200.0,180.0,220.0
2025-03-21,Hose Clamp Assembly,Line 2,Hose pull-off force (N),200.224,200.0,180.0,220.0
2025-03-23,Hose Clamp Assembly,Line 1,Hose pull-off force (N),199.835,200.0,180.0,220.0
2025-03-25,Hose Clamp Assembly,Line 2,Hose pull-off force (N),201.1703,200.0,180.0,220.0
